airlineEnglish,airlineKorean,airport,airportCode,city,cityCode,flightPurpose,internationalEddate,internationalFri,internationalIoType,internationalMon,internationalNum,internationalSat,internationalStdate,internationalSun,internationalThu,internationalTime,internationalTue,internationalWed
JAPAN AIRLINES,일본항공,서울/김포,GMP,동경/하네다,HND,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,JL95,Y,2018-10-28T00:00:00+09:00,Y,Y,2220,Y,Y
JEJU AIR,제주항공,대구,TAE,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,7C2685,Y,2018-12-22T00:00:00+09:00,Y,Y,2220,Y,Y
AIR BUSAN,에어부산,대구,TAE,산야/싼야,SYX,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,BX375,Y,2018-10-28T00:00:00+09:00,N,N,2220,N,Y
JINAIR,진에어,부산/김해,PUS,클락필드/클라크필드,CRK,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,LJ031,Y,2018-10-28T00:00:00+09:00,Y,N,2220,N,N
SPRING AIRLINES,춘추항공,제주,CJU,위엔저우(온주)/원저우,WNZ,여객기,2019-03-30T00:00:00+09:00,N,IN,N,9C8633,Y,2018-12-20T00:00:00+09:00,N,Y,2225,Y,N
ASIANA AIRLINE,아시아나항공,서울/김포,GMP,오사카/간사이,KIX,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,OZ1155,Y,2019-01-01T00:00:00+09:00,Y,Y,2225,Y,Y
KOREAN AIR,대한항공,서울/김포,GMP,동경/하네다,HND,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,KE710,Y,2018-10-28T00:00:00+09:00,Y,Y,2225,Y,Y
SPRING AIRLINES,춘추항공,제주,CJU,위엔저우(온주)/원저우,WNZ,여객기,2019-03-11T00:00:00+09:00,N,IN,N,9C8731,Y,2018-10-30T00:00:00+09:00,N,Y,2225,Y,N
SPRING AIRLINES,춘추항공,제주,CJU,톈진,TSN,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,9C8913,N,2018-10-28T00:00:00+09:00,Y,N,2225,N,Y
SPRING AIRLINES,춘추항공,제주,CJU,항조우/항저우,HGH,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,9C8623,Y,2018-10-28T00:00:00+09:00,Y,Y,2230,Y,Y
ALL NIPPON AIRWAYS (NH),전일본항공,서울/김포,GMP,동경/하네다,HND,여객기,2019-02-16T00:00:00+09:00,Y,IN,Y,NH867,Y,2018-10-28T00:00:00+09:00,Y,Y,2230,Y,Y
FAR EASTERN AIR TRANSPORT,원동항공,제주,CJU,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,FE721,N,2018-10-28T00:00:00+09:00,N,N,2230,N,N
T'WAY AIR CO.LTD,티웨이항공,대구,TAE,클락필드/클라크필드,CRK,여객기,2019-03-04T00:00:00+09:00,N,OUT,N,TW9135,Y,2018-12-20T00:00:00+09:00,N,Y,2230,N,N
JINAIR,진에어,부산/김해,PUS,클락필드/클라크필드,CRK,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,LJ031,N,2018-10-28T00:00:00+09:00,N,N,2230,Y,N
OKAY AIRWAYS,오케이항공,제주,CJU,닝보,NGB,여객기,2019-01-29T00:00:00+09:00,N,IN,N,BK2905,Y,2018-12-01T00:00:00+09:00,N,N,2230,Y,N
OKAY AIRWAYS,오케이항공,제주,CJU,닝보,NGB,여객기,2019-02-28T00:00:00+09:00,N,IN,N,BK2905,Y,2018-12-01T00:00:00+09:00,N,N,2230,Y,N
CHINA SOUTHERN AIRLINES,중국남방항공,제주,CJU,대련/다롄,DLC,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,CZ6098,N,2018-10-28T00:00:00+09:00,Y,Y,2235,N,N
ASIANA AIRLINE,아시아나항공,서울/김포,GMP,동경/하네다,HND,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,OZ1035,Y,2018-10-28T00:00:00+09:00,Y,Y,2235,Y,Y
SKY ANGKOR AIRLINES,스카이앙코르항공,부산/김해,PUS,씨앰립/시엠립,REP,여객기,2019-03-04T00:00:00+09:00,N,OUT,N,ZA246,N,2018-12-27T00:00:00+09:00,N,Y,2235,N,N
JINAIR,진에어,부산/김해,PUS,클락필드/클라크필드,CRK,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,LJ031,N,2018-10-28T00:00:00+09:00,N,N,2235,N,Y
JINAIR,진에어,부산/김해,PUS,클락필드/클라크필드,CRK,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,LJ031,N,2018-10-28T00:00:00+09:00,N,Y,2235,N,N
JINAIR,진에어,제주,CJU,시안,XIY,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,LJ171,N,2018-10-28T00:00:00+09:00,Y,Y,2235,N,N
JINAIR,진에어,제주,CJU,시안,XIY,여객기,2019-01-23T00:00:00+09:00,N,OUT,N,LJ171,N,2018-10-28T00:00:00+09:00,Y,Y,2235,Y,N
JINAIR,진에어,제주,CJU,시안,XIY,여객기,2019-01-23T00:00:00+09:00,N,OUT,N,LJ171,N,2019-01-01T00:00:00+09:00,Y,Y,2235,N,N
SPRING AIRLINES,춘추항공,제주,CJU,닝보,NGB,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,9C8626,Y,2018-10-28T00:00:00+09:00,Y,Y,2235,Y,Y
