airlineEnglish,airlineKorean,airport,airportCode,city,cityCode,flightPurpose,internationalEddate,internationalFri,internationalIoType,internationalMon,internationalNum,internationalSat,internationalStdate,internationalSun,internationalThu,internationalTime,internationalTue,internationalWed
T'WAY AIR CO.LTD,티웨이항공,무안,MWX,키타큐슈,KKJ,여객기,2019-03-11T00:00:00+09:00,Y,IN,Y,TW232,Y,2018-11-03T00:00:00+09:00,Y,Y,0015,Y,Y
EASTAR JET,이스타항공,청주,CJJ,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,ZE782,N,2018-10-28T00:00:00+09:00,N,N,0510,N,N
JEJU AIR,제주항공,대구,TAE,타이페이/타이베이,TPE,여객기,2019-03-31T00:00:00+09:00,Y,IN,Y,7C2686,Y,2018-12-23T00:00:00+09:00,Y,Y,0510,Y,Y
T'WAY AIR CO.LTD,티웨이항공,대구,TAE,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,TW664,Y,2018-10-28T00:00:00+09:00,Y,Y,0515,Y,Y
JEJU AIR,제주항공,청주,CJJ,타이페이/타이베이,TPE,여객기,2019-03-31T00:00:00+09:00,Y,IN,Y,7C2678,N,2018-12-23T00:00:00+09:00,Y,Y,0520,N,N
T'WAY AIR CO.LTD,티웨이항공,대구,TAE,세부,CEB,여객기,2019-03-31T00:00:00+09:00,Y,IN,Y,TW138,Y,2018-11-30T00:00:00+09:00,Y,Y,0530,Y,Y
EASTAR JET,이스타항공,청주,CJJ,상해/푸동,PVG,여객기,2019-03-30T00:00:00+09:00,N,IN,N,ZE822,N,2018-10-28T00:00:00+09:00,Y,Y,0540,N,N
JEJU AIR,제주항공,무안,MWX,세부,CEB,여객기,2019-03-31T00:00:00+09:00,N,IN,N,7C2414,Y,2018-12-22T00:00:00+09:00,Y,Y,0550,Y,Y
T'WAY AIR CO.LTD,티웨이항공,대구,TAE,클락필드/클라크필드,CRK,여객기,2019-03-04T00:00:00+09:00,N,IN,Y,TW9136,N,2018-12-27T00:00:00+09:00,N,N,0555,N,N
VIETJET AIR,비엣젯항공,대구,TAE,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,N,IN,Y,VJ870,N,2018-10-28T00:00:00+09:00,N,N,0600,N,N
AIR BUSAN,에어부산,대구,TAE,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,BX792,Y,2018-10-28T00:00:00+09:00,Y,Y,0600,Y,Y
JINAIR,진에어,부산/김해,PUS,세부,CEB,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,LJ038,N,2018-10-28T00:00:00+09:00,Y,Y,0605,Y,Y
EASTAR JET,이스타항공,부산/김해,PUS,방콕/방콕/수완나품,BKK,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,ZE922,Y,2018-10-28T00:00:00+09:00,Y,Y,0605,Y,Y
JINAIR,진에어,부산/김해,PUS,세부,CEB,여객기,2019-03-30T00:00:00+09:00,N,IN,N,LJ038,Y,2018-10-28T00:00:00+09:00,N,N,0605,N,N
JINAIR,진에어,부산/김해,PUS,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,LJ074,Y,2018-10-28T00:00:00+09:00,Y,Y,0605,Y,Y
JINAIR,진에어,제주,CJU,시안,XIY,여객기,2019-01-23T00:00:00+09:00,Y,IN,Y,LJ172,N,2018-10-28T00:00:00+09:00,N,N,0605,N,Y
JINAIR,진에어,부산/김해,PUS,클락필드/클라크필드,CRK,여객기,2019-03-30T00:00:00+09:00,N,IN,Y,LJ032,N,2018-10-28T00:00:00+09:00,Y,N,0605,N,N
EASTAR JET,이스타항공,청주,CJJ,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,N,IN,N,ZE782,N,2018-10-28T00:00:00+09:00,N,N,0610,N,Y
JEJU AIR,제주항공,부산/김해,PUS,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,N,IN,N,7C2654,N,2018-10-28T00:00:00+09:00,N,Y,0610,N,N
JEJU AIR,제주항공,대구,TAE,동경/도쿄/나리타,NRT,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,7C1112,Y,2018-10-28T00:00:00+09:00,Y,Y,0610,Y,Y
JEJU AIR,제주항공,제주,CJU,홍콩,HKG,여객기,2019-03-30T00:00:00+09:00,N,IN,Y,7C2186,Y,2018-12-14T00:00:00+09:00,N,Y,0610,N,N
JEJU AIR,제주항공,부산/김해,PUS,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,7C2654,Y,2018-10-28T00:00:00+09:00,Y,N,0610,Y,Y
VIETNAM AIRLINES,베트남항공,부산/김해,PUS,하노이,HAN,여객기,2019-03-30T00:00:00+09:00,N,IN,Y,VN426,Y,2018-10-28T00:00:00+09:00,Y,N,0610,N,Y
VIETNAM AIRLINES,베트남항공,부산/김해,PUS,하노이,HAN,여객기,2019-03-30T00:00:00+09:00,Y,IN,N,VN426,N,2018-10-28T00:00:00+09:00,N,Y,0610,Y,N
T'WAY AIR CO.LTD,티웨이항공,부산/김해,PUS,하노이,HAN,여객기,2019-03-30T00:00:00+09:00,N,IN,Y,TW154,Y,2018-12-22T00:00:00+09:00,Y,N,0615,Y,N
AIR BUSAN,에어부산,부산/김해,PUS,마카오,MFM,여객기,2019-03-30T00:00:00+09:00,N,IN,N,BX382,N,2018-10-28T00:00:00+09:00,N,Y,0615,N,N
JINAIR,진에어,부산/김해,PUS,클락필드/클라크필드,CRK,여객기,2019-03-30T00:00:00+09:00,N,IN,N,LJ032,Y,2018-10-28T00:00:00+09:00,N,N,0620,Y,Y
ASIANA AIRLINE,아시아나항공,부산/김해,PUS,광저우,CAN,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,OZ306,N,2018-10-28T00:00:00+09:00,N,N,0620,N,N
AIR BUSAN,에어부산,부산/김해,PUS,마카오,MFM,여객기,2019-03-30T00:00:00+09:00,Y,IN,N,BX382,Y,2018-10-28T00:00:00+09:00,N,N,0620,N,N
AIR BUSAN,에어부산,부산/김해,PUS,마카오,MFM,여객기,2019-03-30T00:00:00+09:00,N,IN,Y,BX382,N,2018-10-28T00:00:00+09:00,N,N,0620,Y,Y
JINAIR,진에어,부산/김해,PUS,클락필드/클라크필드,CRK,여객기,2019-03-30T00:00:00+09:00,Y,IN,N,LJ032,N,2018-10-28T00:00:00+09:00,N,N,0620,N,N
HONGKONGEXPRESS,홍콩익스프레스,제주,CJU,홍콩,HKG,여객기,2019-03-30T00:00:00+09:00,N,IN,N,UO676,N,2018-10-28T00:00:00+09:00,Y,Y,0625,N,N
VIETJET AIR,비엣젯항공,대구,TAE,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,N,IN,N,VJ870,N,2018-10-28T00:00:00+09:00,N,Y,0630,N,N
JEJU AIR,제주항공,부산/김해,PUS,사이판,SPN,여객기,2019-03-03T00:00:00+09:00,Y,IN,Y,7C3451,Y,2018-12-21T00:00:00+09:00,Y,Y,0630,Y,Y
JEJU AIR,제주항공,대구,TAE,마카오,MFM,여객기,2019-03-31T00:00:00+09:00,Y,IN,N,7C2022,N,2018-12-02T00:00:00+09:00,N,N,0630,N,N
JEJU AIR,제주항공,대구,TAE,마카오,MFM,여객기,2019-03-31T00:00:00+09:00,N,IN,Y,7C2022,Y,2018-12-02T00:00:00+09:00,N,N,0630,Y,Y
EASTAR JET,이스타항공,부산/김해,PUS,코타키나발루,BKI,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,ZE942,Y,2018-10-28T00:00:00+09:00,Y,Y,0630,Y,Y
AIR BUSAN,에어부산,부산/김해,PUS,시안,XIY,여객기,2019-03-30T00:00:00+09:00,N,IN,N,BX342,N,2018-10-28T00:00:00+09:00,N,Y,0630,N,N
AIR BUSAN,에어부산,부산/김해,PUS,시안,XIY,여객기,2019-03-30T00:00:00+09:00,N,IN,N,BX342,N,2018-10-28T00:00:00+09:00,Y,N,0630,N,N
AIR BUSAN,에어부산,부산/김해,PUS,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,N,IN,N,BX798,N,2018-10-28T00:00:00+09:00,N,Y,0630,N,Y
AIR BUSAN,에어부산,부산/김해,PUS,세부,CEB,여객기,2019-03-30T00:00:00+09:00,N,IN,N,BX712,N,2018-10-28T00:00:00+09:00,N,N,0630,N,Y
AIR BUSAN,에어부산,부산/김해,PUS,홍콩,HKG,여객기,2019-03-30T00:00:00+09:00,N,IN,N,BX392,N,2018-10-28T00:00:00+09:00,N,Y,0630,N,N
AIR BUSAN,에어부산,부산/김해,PUS,홍콩,HKG,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,BX392,Y,2018-10-28T00:00:00+09:00,Y,N,0630,Y,Y
T'WAY AIR CO.LTD,티웨이항공,부산/김해,PUS,하노이,HAN,여객기,2019-03-30T00:00:00+09:00,N,IN,N,TW156,N,2018-12-22T00:00:00+09:00,N,Y,0630,N,N
T'WAY AIR CO.LTD,티웨이항공,대구,TAE,클락필드/클라크필드,CRK,여객기,2019-03-05T00:00:00+09:00,Y,IN,N,TW9136,N,2018-12-20T00:00:00+09:00,Y,N,0635,N,N
JEJU AIR,제주항공,부산/김해,PUS,동경/하네다,HND,여객기,2019-01-14T00:00:00+09:00,N,IN,Y,7C1287,Y,2018-12-21T00:00:00+09:00,N,N,0635,N,N
PHILIPPINE AIRLINES,필리핀항공,부산/김해,PUS,마닐라,MNL,여객기,2019-03-30T00:00:00+09:00,N,IN,N,PR458,N,2018-12-23T00:00:00+09:00,N,N,0635,N,Y
AIR BUSAN,에어부산,부산/김해,PUS,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,BX798,Y,2018-10-28T00:00:00+09:00,Y,N,0635,Y,N
AIR BUSAN,에어부산,부산/김해,PUS,세부,CEB,여객기,2019-02-09T00:00:00+09:00,Y,IN,Y,BX712,Y,2018-10-28T00:00:00+09:00,Y,Y,0635,Y,N
AIR BUSAN,에어부산,부산/김해,PUS,마카오,MFM,여객기,2019-03-30T00:00:00+09:00,N,IN,N,BX382,N,2018-10-28T00:00:00+09:00,Y,N,0635,N,N
T'WAY AIR CO.LTD,티웨이항공,대구,TAE,클락필드/클라크필드,CRK,여객기,2019-03-05T00:00:00+09:00,N,IN,N,TW9136,N,2018-12-27T00:00:00+09:00,N,Y,0635,Y,N
T'WAY AIR CO.LTD,티웨이항공,부산/김해,PUS,하노이,HAN,여객기,2019-03-30T00:00:00+09:00,N,IN,N,TW154,N,2018-12-22T00:00:00+09:00,N,N,0635,N,Y
VIETJET AIR,비엣젯항공,대구,TAE,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,Y,IN,N,VJ870,Y,2018-10-28T00:00:00+09:00,Y,N,0650,Y,Y
JEJU AIR,제주항공,무안,MWX,코타키나발루,BKI,여객기,2019-03-31T00:00:00+09:00,Y,IN,Y,7C2514,N,2018-12-24T00:00:00+09:00,N,N,0650,N,N
JEJU AIR,제주항공,대구,TAE,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,7C2921,Y,2018-12-22T00:00:00+09:00,Y,Y,0650,Y,N
LAO AIRLINES,라오항공,부산/김해,PUS,비엔티안,VTE,여객기,2019-03-10T00:00:00+09:00,N,IN,N,QV915,Y,2018-10-28T00:00:00+09:00,N,Y,0650,Y,N
VIETJET AIR,비엣젯항공,대구,TAE,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,N,OUT,Y,VJ871,N,2018-10-28T00:00:00+09:00,N,N,0655,N,N
KOREAN AIR,대한항공,대구,TAE,인천,ICN,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,KE1412,Y,2018-10-28T00:00:00+09:00,Y,Y,0655,Y,Y
VIETJET AIR,비엣젯항공,부산/김해,PUS,하노이,HAN,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,VJ982,Y,2018-10-28T00:00:00+09:00,Y,N,0700,Y,Y
JEJU AIR,제주항공,부산/김해,PUS,후쿠오카,FUK,여객기,2019-03-30T00:00:00+09:00,N,OUT,Y,7C1452,Y,2018-10-28T00:00:00+09:00,N,N,0700,Y,N
JEJU AIR,제주항공,부산/김해,PUS,후쿠오카,FUK,여객기,2019-03-30T00:00:00+09:00,Y,OUT,N,7C1452,N,2018-10-28T00:00:00+09:00,Y,Y,0700,N,N
JEJU AIR,제주항공,부산/김해,PUS,세부,CEB,여객기,2019-03-30T00:00:00+09:00,N,IN,Y,7C2452,Y,2018-10-28T00:00:00+09:00,Y,N,0700,N,N
JEJU AIR,제주항공,청주,CJJ,오사카/간사이,KIX,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,7C3172,N,2018-10-28T00:00:00+09:00,N,N,0700,Y,N
JEJU AIR,제주항공,청주,CJJ,괌,GUM,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,7C3172,Y,2018-10-28T00:00:00+09:00,Y,Y,0700,N,Y
JEJU AIR,제주항공,부산/김해,PUS,세부,CEB,여객기,2019-03-30T00:00:00+09:00,Y,IN,N,7C2452,N,2018-10-28T00:00:00+09:00,N,Y,0700,Y,N
VIETNAM AIRLINES,베트남항공,부산/김해,PUS,호치민/호찌민,SGN,여객기,2019-03-30T00:00:00+09:00,N,IN,Y,VN422,N,2018-10-28T00:00:00+09:00,N,N,0700,N,Y
VIETNAM AIRLINES,베트남항공,부산/김해,PUS,호치민/호찌민,SGN,여객기,2019-03-30T00:00:00+09:00,Y,IN,N,VN422,N,2018-10-28T00:00:00+09:00,N,N,0700,N,N
ASIANA AIRLINE,아시아나항공,부산/김해,PUS,인천,ICN,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,OZ8532,Y,2018-10-28T00:00:00+09:00,Y,Y,0700,Y,Y
AIR BUSAN,에어부산,부산/김해,PUS,후쿠오카,FUK,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,BX148,N,2018-10-28T00:00:00+09:00,N,N,0700,N,Y
AIR BUSAN,에어부산,부산/김해,PUS,씨앰립/시엠립,REP,여객기,2019-03-30T00:00:00+09:00,N,IN,N,BX722,N,2018-10-28T00:00:00+09:00,N,N,0700,Y,N
AIR BUSAN,에어부산,부산/김해,PUS,씨앰립/시엠립,REP,여객기,2019-03-30T00:00:00+09:00,Y,IN,N,BX722,N,2018-10-28T00:00:00+09:00,Y,Y,0700,N,N
KOREAN AIR,대한항공,부산/김해,PUS,북경/베이징,PEK,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,KE829,Y,2018-10-28T00:00:00+09:00,N,Y,0700,Y,N
JINAIR,진에어,부산/김해,PUS,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,N,IN,Y,LJ076,Y,2018-10-28T00:00:00+09:00,Y,Y,0700,N,N
VIETJET AIR,비엣젯항공,부산/김해,PUS,하노이,HAN,여객기,2019-03-30T00:00:00+09:00,N,IN,N,VJ982,N,2018-10-28T00:00:00+09:00,N,Y,0705,N,N
JEJU AIR,제주항공,부산/김해,PUS,세부,CEB,여객기,2019-03-30T00:00:00+09:00,N,IN,N,7C2452,N,2018-10-28T00:00:00+09:00,N,N,0705,N,Y
JEJU AIR,제주항공,부산/김해,PUS,후쿠오카,FUK,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,7C1452,N,2018-10-28T00:00:00+09:00,N,N,0705,N,Y
KOREAN AIR,대한항공,부산/김해,PUS,인천,ICN,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,KE1402,Y,2018-10-29T00:00:00+09:00,Y,Y,0705,Y,Y
JINAIR,진에어,부산/김해,PUS,클락필드/클라크필드,CRK,여객기,2019-03-30T00:00:00+09:00,N,IN,N,LJ032,N,2018-10-28T00:00:00+09:00,N,Y,0705,N,N
T'WAY AIR CO.LTD,티웨이항공,대구,TAE,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,TW150,Y,2018-10-28T00:00:00+09:00,Y,Y,0710,Y,Y
VIETNAM AIRLINES,베트남항공,부산/김해,PUS,호치민/호찌민,SGN,여객기,2019-03-30T00:00:00+09:00,N,IN,N,VN422,N,2018-10-28T00:00:00+09:00,N,Y,0710,Y,N
THAI AIRWAYS,타이항공,부산/김해,PUS,방콕/방콕/수완나품,BKK,여객기,2019-03-30T00:00:00+09:00,N,IN,N,TG650,Y,2018-10-28T00:00:00+09:00,N,N,0710,N,N
THAI AIRWAYS,타이항공,부산/김해,PUS,방콕/방콕/수완나품,BKK,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,TG650,N,2018-10-28T00:00:00+09:00,Y,Y,0710,N,Y
JINAIR,진에어,부산/김해,PUS,오사카/간사이,KIX,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,LJ215,N,2018-10-28T00:00:00+09:00,Y,N,0715,N,N
JEJU AIR,제주항공,부산/김해,PUS,괌,GUM,여객기,2019-03-31T00:00:00+09:00,N,IN,Y,7C3153,N,2018-10-31T00:00:00+09:00,Y,N,0715,N,N
OKAY AIRWAYS,오케이항공,제주,CJU,닝보,NGB,여객기,2019-01-29T00:00:00+09:00,N,OUT,N,BK2906,Y,2018-12-01T00:00:00+09:00,N,N,0720,Y,N
VIETNAM AIRLINES,베트남항공,부산/김해,PUS,호치민/호찌민,SGN,여객기,2019-03-30T00:00:00+09:00,N,IN,N,VN422,Y,2018-10-28T00:00:00+09:00,Y,N,0720,N,N
AIR BUSAN,에어부산,부산/김해,PUS,후쿠오카,FUK,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,BX148,N,2018-10-28T00:00:00+09:00,N,N,0720,Y,N
OKAY AIRWAYS,오케이항공,제주,CJU,난징(남경)/난징,NKG,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,BK2902,N,2018-12-01T00:00:00+09:00,Y,Y,0720,N,N
OKAY AIRWAYS,오케이항공,제주,CJU,닝보,NGB,여객기,2019-02-28T00:00:00+09:00,N,OUT,N,BK2906,Y,2018-12-01T00:00:00+09:00,N,N,0720,Y,N
SPRING AIRLINES,춘추항공,제주,CJU,항조우/항저우,HGH,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,9C8624,Y,2018-10-28T00:00:00+09:00,Y,Y,0725,Y,Y
JEJU AIR,제주항공,부산/김해,PUS,괌,GUM,여객기,2019-03-31T00:00:00+09:00,Y,IN,N,7C3153,Y,2018-10-31T00:00:00+09:00,N,Y,0725,Y,Y
SPRING AIRLINES,춘추항공,제주,CJU,위엔저우(온주)/원저우,WNZ,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,9C8634,Y,2018-12-20T00:00:00+09:00,N,Y,0730,Y,N
JEJU AIR,제주항공,대구,TAE,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,7C2921,N,2018-12-22T00:00:00+09:00,N,N,0730,N,Y
JEJU AIR,제주항공,대구,TAE,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,7C2921,N,2018-12-22T00:00:00+09:00,N,N,0730,N,N
PHILIPPINE AIRLINES,필리핀항공,부산/김해,PUS,마닐라,MNL,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,PR459,N,2018-12-23T00:00:00+09:00,N,N,0730,N,Y
ASIANA AIRLINE,아시아나항공,부산/김해,PUS,인천,ICN,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,OZ8533,Y,2018-10-28T00:00:00+09:00,Y,Y,0730,Y,Y
AIR BUSAN,에어부산,부산/김해,PUS,후쿠오카,FUK,여객기,2019-03-30T00:00:00+09:00,Y,OUT,N,BX148,N,2018-10-28T00:00:00+09:00,N,N,0730,N,N
AIR BUSAN,에어부산,부산/김해,PUS,산야/싼야,SYX,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,BX374,N,2018-10-28T00:00:00+09:00,N,Y,0730,N,N
AIR BUSAN,에어부산,부산/김해,PUS,괌,GUM,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,BX611,N,2018-10-28T00:00:00+09:00,Y,Y,0730,N,N
AIR BUSAN,에어부산,부산/김해,PUS,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,BX732,Y,2018-10-28T00:00:00+09:00,Y,N,0730,Y,N
AIR BUSAN,에어부산,부산/김해,PUS,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,N,IN,N,BX732,N,2018-10-28T00:00:00+09:00,N,N,0730,N,Y
AIR BUSAN,에어부산,부산/김해,PUS,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,N,IN,N,BX732,N,2018-10-28T00:00:00+09:00,N,Y,0730,N,N
SKY ANGKOR AIRLINES,스카이앙코르항공,부산/김해,PUS,씨앰립/시엠립,REP,여객기,2019-02-10T00:00:00+09:00,N,IN,Y,ZA245,N,2018-12-24T00:00:00+09:00,N,N,0730,N,N
T'WAY AIR CO.LTD,티웨이항공,대구,TAE,오키나와,OKA,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,TW277,Y,2018-11-29T00:00:00+09:00,N,N,0730,Y,N
T'WAY AIR CO.LTD,티웨이항공,부산/김해,PUS,하노이,HAN,여객기,2019-03-30T00:00:00+09:00,Y,IN,N,TW156,N,2018-12-22T00:00:00+09:00,N,N,0730,N,N
JINAIR,진에어,부산/김해,PUS,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,Y,IN,N,LJ076,N,2018-10-28T00:00:00+09:00,N,N,0730,Y,Y
JINAIR,진에어,부산/김해,PUS,오사카/간사이,KIX,여객기,2019-03-30T00:00:00+09:00,N,OUT,Y,LJ215,N,2018-10-28T00:00:00+09:00,N,N,0730,Y,N
JINAIR,진에어,부산/김해,PUS,괌,GUM,여객기,2019-03-30T00:00:00+09:00,N,OUT,Y,LJ647,N,2018-12-24T00:00:00+09:00,N,Y,0730,Y,N
JINAIR,진에어,부산/김해,PUS,오사카/간사이,KIX,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,LJ215,N,2018-12-24T00:00:00+09:00,N,N,0730,N,Y
HONGKONGEXPRESS,홍콩익스프레스,제주,CJU,홍콩,HKG,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,UO677,N,2018-10-28T00:00:00+09:00,Y,Y,0730,N,N
VIETJET AIR,비엣젯항공,대구,TAE,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,VJ871,N,2018-10-28T00:00:00+09:00,N,Y,0730,N,N
JINAIR,진에어,부산/김해,PUS,오사카/간사이,KIX,여객기,2019-03-30T00:00:00+09:00,Y,OUT,N,LJ215,Y,2018-10-28T00:00:00+09:00,N,N,0735,N,N
AIR BUSAN,에어부산,부산/김해,PUS,후쿠오카,FUK,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,BX148,Y,2018-10-28T00:00:00+09:00,Y,Y,0735,N,N
AIR BUSAN,에어부산,부산/김해,PUS,후쿠오카,FUK,여객기,2019-03-30T00:00:00+09:00,N,OUT,Y,BX148,N,2018-10-28T00:00:00+09:00,N,N,0735,N,N
KOREAN AIR,대한항공,제주,CJU,북경/베이징,PEK,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,KE879,Y,2018-10-28T00:00:00+09:00,N,Y,0735,Y,N
JAPAN AIRLINES,일본항공,부산/김해,PUS,동경/도쿄/나리타,NRT,여객기,2019-02-01T00:00:00+09:00,Y,OUT,Y,JL960,Y,2018-10-29T00:00:00+09:00,Y,Y,0740,Y,Y
AIR BUSAN,에어부산,부산/김해,PUS,산야/싼야,SYX,여객기,2019-03-30T00:00:00+09:00,N,IN,N,BX374,N,2018-10-28T00:00:00+09:00,Y,N,0745,N,N
ALL NIPPON AIRWAYS (NH),전일본항공,서울/김포,GMP,동경/하네다,HND,여객기,2019-02-16T00:00:00+09:00,Y,OUT,Y,NH862,Y,2018-10-28T00:00:00+09:00,Y,Y,0745,Y,Y
SPRING AIRLINES,춘추항공,제주,CJU,심양/선양,SHE,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,9C8708,N,2018-10-28T00:00:00+09:00,N,N,0750,N,N
JEJU AIR,제주항공,무안,MWX,방콕/방콕/수완나품,BKK,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,7C2216,N,2018-10-28T00:00:00+09:00,Y,Y,0750,N,N
T'WAY AIR CO.LTD,티웨이항공,부산/김해,PUS,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,TW152,Y,2018-10-28T00:00:00+09:00,Y,Y,0750,Y,Y
VIETJET AIR,비엣젯항공,대구,TAE,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,Y,OUT,N,VJ871,Y,2018-10-28T00:00:00+09:00,Y,N,0750,Y,Y
SPRING AIRLINES,춘추항공,제주,CJU,심양/선양,SHE,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,9C8708,N,2018-11-04T00:00:00+09:00,Y,N,0750,N,N
SPRING AIRLINES,춘추항공,제주,CJU,심양/선양,SHE,여객기,2019-01-23T00:00:00+09:00,N,OUT,N,9C8708,N,2018-11-14T00:00:00+09:00,N,N,0750,N,Y
T'WAY AIR CO.LTD,티웨이항공,대구,TAE,하노이,HAN,여객기,2019-03-31T00:00:00+09:00,N,IN,N,TW142,Y,2018-11-30T00:00:00+09:00,N,Y,0755,Y,Y
AIR BUSAN,에어부산,대구,TAE,산야/싼야,SYX,여객기,2019-03-30T00:00:00+09:00,N,IN,N,BX376,N,2018-10-28T00:00:00+09:00,Y,Y,0755,N,N
AIR BUSAN,에어부산,대구,TAE,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,BX736,N,2018-10-28T00:00:00+09:00,N,N,0755,N,N
KOREAN AIR,대한항공,부산/김해,PUS,인천,ICN,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,KE1404,Y,2018-10-28T00:00:00+09:00,Y,Y,0755,Y,Y
T'WAY AIR CO.LTD,티웨이항공,대구,TAE,오키나와,OKA,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,TW277,N,2018-11-29T00:00:00+09:00,N,Y,0755,N,N
T'WAY AIR CO.LTD,티웨이항공,대구,TAE,오사카/간사이,KIX,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,TW287,N,2018-10-28T00:00:00+09:00,N,N,0755,N,Y
JAPAN AIRLINES,일본항공,서울/김포,GMP,동경/하네다,HND,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,JL90,Y,2018-10-28T00:00:00+09:00,Y,Y,0800,Y,Y
ASIANA AIRLINE,아시아나항공,부산/김해,PUS,다낭,DAD,여객기,2019-02-11T00:00:00+09:00,Y,IN,Y,OZ780,Y,2018-10-28T00:00:00+09:00,Y,Y,0800,Y,Y
ASIANA AIRLINE,아시아나항공,부산/김해,PUS,다낭,DAD,여객기,2019-02-11T00:00:00+09:00,Y,IN,Y,OZ780,N,2018-10-28T00:00:00+09:00,Y,Y,0800,N,N
AIR BUSAN,에어부산,부산/김해,PUS,괌,GUM,여객기,2019-03-30T00:00:00+09:00,N,IN,N,BX6113,N,2018-12-03T00:00:00+09:00,N,N,0800,N,Y
AIR BUSAN,에어부산,부산/김해,PUS,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,N,OUT,N,BX737,N,2018-10-28T00:00:00+09:00,N,N,0800,Y,N
KOREAN AIR,대한항공,부산/김해,PUS,북경/베이징,PEK,여객기,2019-03-30T00:00:00+09:00,Y,OUT,Y,KE849,N,2018-10-28T00:00:00+09:00,N,N,0800,N,Y
KOREAN AIR,대한항공,부산/김해,PUS,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,N,OUT,Y,KE697,N,2018-10-28T00:00:00+09:00,N,Y,0800,N,Y
